S000000100  YBL004W
S000003329  YGR097W
S000001369  YIL107C
S000004044  YLR054C
S000000730  YEL004W
S000002686  YDR278C
S000005374  YOL014W
S000007242  YKL033W-A
S000004830  YMR217W
S000004632  YMR030W
S000006612  tI(AAU)P2
S000002639  YDR231C
S000006365  YPR161C
S000004617  YMR015C
S000003879  YJR118C
S000000197  YBL101C
S000004550  YML085C
S000005326  YNR043W
S000000921  YER119C
S000006328  YPR124W
S000006478  LSR1
S000004404  YLR412W
S000001272  YIL010W
S000001692  YKL209C
S000003387  YGR155W
S000000550  YCL045C
S000005819  YOR293W
S000003051  YGL083W
S000000788  YEL062W
S000006767  tV(CAC)D
S000000962  YER160C
S000002497  YDR090C
S000002517  YDR110W
S000004594  YML125C
S000006596  tH(GUG)G2
S000003829  YJR068W
S000003461  YGR229C
S000004122  YLR132C
S000003917  YJR156C
S000006429  YLR390W-A
S000003618  YJL082W
S000028806  YJL136W-A
S000003375  YGR143W
S000004672  YMR068W
S000003251  YGR019W
S000001922  YFR026C
S000001149  YHR107C
S000002470  YDR063W
S000004918  YMR303C
S000001333  YIL071C
S000000282  YBR078W
S000007384  YNL054W-A
S000004422  YLR430W
S000003573  YJL036W
S000004861  YMR247C
S000000414  YBR210W
S000004401  YLR409C
S000002880  YDR472W
S000000466  YBR262C
S000002653  YDR245W
S000001565  YKL082C
S000005488  YOL128C
S000002852  YDR444W
S000003908  YJR147W
S000006688  tP(UGG)O2
S000000496  YBR292C
S000003481  YGR249W
S000002771  YDR363W
S000001394  YIL132C
S000003478  YGR246C
S000006361  YPR157W
S000003078  YGL110C
S000004997  YNL052W
S000003550  YJL013C
S000003973  YLL050C
S000004872  YMR259C
S000003570  YJL033W
S000002301  YDL142C
S000006562  tF(GAA)B
S000006491  SCR1
S000000862  YER060W
S000001163  YHR121W
S000004529  YML064C
S000028546  YER078W-A
S000003864  YJR103W
S000004806  YMR193W
S000004680  YMR075W
S000005205  YNL261W
S000001506  YKL023W
S000005303  YNR020C
S000000863  YER061C
S000001668  YKL185W
S000004397  YLR405W
S000003045  YGL077C
S000004745  YMR137C
S000002524  YDR117C
S000001350  YIL088C
S000006490  RPR1
S000001395  YIL133C
S000002392  YDL233W
S000002654  YDR246W
S000000415  YBR211C
S000003344  YGR112W
S000003680  YJL144W
S000002359  YDL200C
S000006522  tA(UGC)E
S000001196  YHR153C
S000005634  YOR108W
S000006309  YPR105C
S000002189  YDL031W
S000005917  YOR390W
S000002388  YDL229W
S000004491  YML029W
S000001401  YIL139C
S000006022  YPL101W
S000001168  YHR126C
S000002981  YGL013C
S000001812  YKR104W
S000002928  YDR520C
S000006348  YPR144C
S000006225  YPR021C
S000003582  YJL046W
S000001467  YIR028W
S000007370  YGR161W-B
S000003349  YGR117C
S000005023  YNL079C
S000002168  YDL010W
S000005271  YNL327W
S000005178  YNL234W
S000004131  YLR141W
S000001677  YKL194C
S000001796  YKR088C
S000006539  tD(GUC)J4
S000006032  YPL111W
S000005428  YOL067C
S000003321  YGR089W
S000122558  YPR010C-A
S000002778  YDR370C
S000003442  YGR210C
S000005842  YOR315W
S000003679  YJL143W
S000004585  YML117W
S000006689  tP(UGG)O3
S000001832  YFL062W
S000000118  YBL022C
S000005802  YOR276W
S000005233  YNL289W
S000000270  YBR066C
S000003650  YJL114W
S000005398  YOL038W
S000005347  YNR064C
S000006098  YPL177C
S000003941  YLL018C
S000003465  YGR233C
S000006657  TLC1
S000005344  YNR061C
S000004266  YLR276C
S000001890  YFL004W
S000005554  YOR028C
S000006388  YPR184W
S000001670  YKL187C
S000029708  RDN5-4
S000119380  HRA1
S000002983  YGL015C
S000002832  YDR424C
S000003819  YJR058C
S000001493  YKL010C
S000001935  YFR039C
S000001622  YKL139W
S000005449  YOL089C
S000002775  YDR367W
S000000334  YBR130C
S000006339  YPR135W
S000001284  YIL022W
S000003313  YGR081C
S000005462  YOL102C
S000003874  YJR113C
S000004138  YLR148W
S000005932  YPL011C
S000002731  YDR323C
S000005496  YOL136C
S000005409  YOL049W
S000003021  YGL053W
S000000739  YEL013W
S000005984  YPL063W
S000006252  YPR048W
S000005386  YOL026C
S000001158  YHR116W
S000002672  YDR264C
S000005056  YNL112W
S000003814  YJR053W
S000002944  YDR536W
S000006045  YPL124W
S000004957  YNL012W
S000005603  YOR077W
S000000027  YAL029C
S000003222  YGL253W
S000006600  tI(AAU)B
S000006176  YPL255W
S000004083  YLR093C
S000004226  YLR236C
S000000988  YER186C
S000004610  YMR008C
S000003148  YGL180W
S000000813  YER011W
S000003356  YGR124W
S000006100  YPL179W
S000002503  YDR096W
S000003082  YGL114W
S000002265  YDL107W
S000000657  YCR061W
S000000308  YBR104W
S000005245  YNL301C
S000005164  YNL220W
S000005691  YOR165W
S000028600  YBR126W-A
S000001803  YKR095W
S000003871  YJR110W
S000005974  YPL053C
S000000353  YBR149W
S000005669  YOR143C
S000001353  YIL091C
S000000996  YHL004W
S000000262  YBR058C
S000002661  YDR253C
S000007497  snR30
S000004299  YLR308W
S000002489  YDR082W
S000000754  YEL028W
S000004533  YML068W
S000007223  YCR087C-A
S000003485  YGR253C
S000006702  tR(ACG)J
S000003887  YJR126C
S000006343  YPR139C
S000001089  YHR047C
S000001686  YKL203C
S000003643  YJL107C
S000002494  YDR087C
S000001881  YFL013C
S000003894  YJR133W
S000005856  YOR329C
S000005698  YOR172W
S000005151  YNL207W
S000001688  YKL205W
S000003597  YJL061W
S000002376  YDL217C
S000006524  tA(UGC)L
S000006621  tK(CUU)G1
S000002991  YGL023C
S000001550  YKL067W
S000028639  YGR174W-A
S000001533  YKL050C
S000005293  YNR010W
S000004307  YLR315W
S000000315  YBR111C
S000006170  YPL249C
S000001455  YIR016W
S000006660  tM(CAU)E
S000005193  YNL249C
S000004486  YML024W
S000001834  YFL060C
S000005427  YOL066C
S000006251  YPR047W
S000006682  tP(UGG)H
S000006237  YPR033C
S000004468  YML009C
S000005667  YOR141C
S000004064  YLR074C
S000028764  YER188C-A
S000005190  YNL246W
S000005942  YPL021W
S000001492  YKL009W
S000001427  YIL165C
S000002728  YDR320C
S000000548  YCL043C
S000001657  YKL174C
S000000329  YBR125C
S000000949  YER147C
S000004598  YML129C
S000001146  YHR104W
S000004751  YMR143W
S000002333  YDL174C
S000001590  YKL107W
S000006271  YPR067W
S000002819  YDR411C
S000004996  YNL051W
S000001759  YKR051W
S000000464  YBR260C
S000004202  YLR212C
S000003410  YGR178C
S000000580  YCL075W
S000006256  YPR052C
S000005146  YNL202W
S000007610  YJL052C-A
S000000644  YCR048W
S000005502  YOL142W
S000007376  YLR227W-B
S000002361  YDL202W
S000002806  YDR398W
S000003389  YGR157W
S000003416  YGR184C
S000000248  YBR044C
S000007526  YOR396W
S000028422  YLR154W-C
S000000849  YER047C
S000005513  YOL153C
S000028566  YLR159C-A
S000003252  YGR020C
S000000886  YER084W
S000006051  YPL130W
S000002304  YDL145C
S000000152  YBL056W
S000000147  YBL051C
S000003825  YJR064W
S000000815  YER013W
S000002204  YDL046W
S000005016  YNL072W
S000001789  YKR081C
S000006553  tE(UUC)G1
S000003364  YGR132C
S000004340  YLR348C
S000001026  YHL034C
S000002305  YDL146W
S000000943  YER141W
S000001366  YIL104C
S000004470  YML010W
S000000375  YBR171W
S000029010  SRG1
S000002409  YDR002W
S000007239  YER138W-A
S000007264  Q0065
S000006390  YPR186C
S000003154  YGL186C
S000004353  YLR361C
S000000556  YCL051W
S000003289  YGR057C
S000005653  YOR127W
S000000960  YER158C
S000000025  YAL027W
S000002224  YDL066W
S000000832  YER030W
S000004007  YLR017W
S000005102  YNL158W
S000002277  YDL119C
S000006462  snR71
S000002395  YDL236W
S000002652  YDR244W
S000000911  YER109C
S000003370  YGR138C
S000000883  YER081W
S000005610  YOR084W
S000000795  YEL069C
S000001116  YHR074W
S000002668  YDR260C
S000005265  YNL321W
S000004920  YMR304W
S000005885  YOR358W
S000000020  YAL022C
S000002773  YDR365C
S000001010  YHL018W
S000003764  YJR004C
S000001860  YFL034W
S000000060  YAL064W
S000007295  snR19
S000006266  YPR062W
S000002594  YDR186C
S000002309  YDL150W
S000006320  YPR116W
S000002908  YDR500C
S000003029  YGL061C
S000000922  YER120W
S000005411  YOL051W
S000005522  YOL162W
S000003954  YLL031C
S000001603  YKL120W
S000001347  YIL085C
S000002687  YDR279W
S000003054  YGL086W
S000004708  YMR102C
S000001537  YKL054C
S000003055  YGL087C
S000002726  YDR318W
S000003534  YHR214C-B
S000000482  YBR278W
S000001886  YFL008W
S000000946  YER144C
S000004629  YMR027W
S000006405  YPR201W
S000004296  YLR305C
S000028522  YJL127C-B
S000004978  YNL033W
S000003702  YJL166W
S000005627  YOR101W
S000006355  YPR151C
S000007590  YER014C-A
S000001406  YIL144W
S000000822  YER020W
S000000958  YER156C
S000006536  tD(GUC)J1
S000001357  YIL095W
S000006758  tV(AAC)H
S000000402  YBR198C
S000006668  tN(GUU)C
S000003044  YGL076C
S000005022  YNL078W
S000000028  YAL030W
S000006430  YDL045W-A
S000000363  YBR159W
S000004421  YLR429W
S000003495  YGR263C
S000000510  YCL004W
S000004282  YLR291C
S000004354  YLR362W
S000000202  YBL106C
S000005304  YNR021W
S000002873  YDR465C
S000004035  YLR045C
S000003911  YJR150C
S000006353  YPR149W
S000006193  YPL272C
S000004205  YLR215C
S000002818  YDR410C
S000004398  YLR406C
S000001274  YIL012W
S000000915  YER113C
S000004200  YLR210W
S000000427  YBR223C
S000001573  YKL090W
S000001429  YIL167W
S000003214  YGL245W
S000001091  YHR049W
S000001263  YIL001W
S000004004  YLR014C
S000000176  YBL080C
S000005009  YNL065W
S000007405  YGR027W-A
S000005143  YNL199C
S000002134  YAL034C
S000000727  YEL001C
S000000972  YER170W
S000005953  YPL032C
S000001649  YKL166C
S000000474  YBR270C
S000005798  YOR272W
S000004304  YLR312W-A
S000003890  YJR129C
S000006727  tS(AGA)J
S000002942  YDR534C
S000001783  YKR075C
S000000850  YER048C
S000003367  YGR135W
S000003401  YGR169C
S000005126  YNL182C
S000001672  YKL189W
S000005863  YOR336W
S000003580  YJL044C
S000004804  YMR192W
S000004575  YML107C
S000004930  YMR313C
S000006489  RDN58-2
S000005312  YNR029C
S000005479  YOL119C
S000006675  tN(GUU)O1
S000005468  YOL108C
S000005629  YOR103C
S000003452  YGR220C
S000001900  YFR004W
S000006255  YPR051W
S000005133  YNL189W
S000004895  YMR282C
S000006377  YPR173C
S000004637  YMR034C
S000002747  YDR339C
S000000345  YBR141C
S000003499  YGR267C
S000000746  YEL020C
S000004827  YMR214W
S000005262  YNL318C
S000006115  YPL194W
S000003959  YLL036C
S000004487  YML025C
S000002140  YAL064C-A
S000004925  YMR308C
S000002905  YDR497C
S000001435  YIL173W
S000004098  YLR108C
S000005348  YNR065C
S000004535  YML070W
S000001791  YKR083C
S000000362  YBR158W
S000004603  YMR001C
S000002648  YDR240C
S000002200  YDL042C
S000002162  YDL004W
S000003921  YJR160C
S000005775  YOR249C
S000003633  YJL097W
S000004713  YMR107W
S000006624  tK(CUU)I
S000000191  YBL095W
S000028638  YGR146C-A
S000006626  tK(CUU)K
S000028657  YIL105W-A
S000005741  YOR215C
S000002757  YDR349C
S000006089  YPL168W
S000028650  YHR212W-A
S000007436  NME1
S000130129  RUF21
S000004254  YLR264W
S000003297  YGR065C
S000003957  YLL034C
S000003379  YGR147C
S000005707  YOR181W
S000000106  YBL010C
S000003330  YGR098C
S000000160  YBL064C
S000000937  YER135C
S000000523  YCL018W
S000001928  YFR032C
S000005454  YOL094C
S000004948  YNL003C
S000004346  YLR354C
S000000930  YER128W
S000005237  YNL293W
S000006218  YPR014C
S000000779  YEL053C
S000002581  YDR174W
S000005889  YOR362C
S000004127  YLR137W
S000006306  YPR102C
S000001258  YHR215W
S000001595  YKL112W
S000000287  YBR083W
S000004565  YML099C
S000002784  YDR376W
S000028519  YCR075W-A
S000001040  YHL048W
S000004583  YML115C
S000003567  YJL030W
S000004511  YML048W
S000004715  YMR109W
S000003122  YGL154C
S000006029  YPL108W
S000003599  YJL063C
S000000384  YBR180W
S000004416  YLR424W
S000004788  YMR176W
S000004432  YLR440C
S000003314  YGR082W
S000005497  YOL137W
S000002151  YBL111C
S000006516  tA(AGC)K2
S000000209  YBR005W
S000004787  YMR175W
S000002971  YGL003C
S000000360  YBR156C
S000000388  YBR184W
S000002901  YDR493W
S000028691  YMR001C-A
S000005467  YOL107W
S000002997  YGL029W
S000007283  Q0275
S000005722  YOR196C
S000000052  YAL056W
S000003091  YGL123W
S000000698  YCR101C
S000002141  YAL064W-B
S000028688  YML100W-A
S000003090  YGL122C
S000003734  YJL198W
S000000274  YBR070C
S000001216  YHR173C
S000003096  YGL128C
S000002425  YDR018C
S000006396  YPR192W
S000001953  YFR057W
S000028569  YLR285C-A
S000002142  YAL068C
S000006391  YPR187W
S000001329  YIL067C
S000004651  YMR048W
S000002650  YDR242W
S000002911  YDR503C
S000006586  tG(GCC)O1
S000000273  YBR069C
S000000199  YBL103C
S000004244  YLR254C
S000002445  YDR038C
S000002157  YBR089C-A
S000001134  YHR092C
S000001891  YFL003C
S000001777  YKR069W
S000003105  YGL137W
S000004006  YLR016C
S000006756  tV(AAC)G2
S000003802  YJR041C
S000000487  YBR283C
S000005069  YNL125C
S000006081  YPL160W
S000002864  YDR456W
S000005998  YPL077C
S000001464  YIR025W
S000002211  YDL053C
S000006403  YPR199C
S000002829  YDR421W
S000004602  YML133C
S000003674  YJL138C
S000002340  YDL181W
S000006073  YPL152W
S000005848  YOR321W
S000000407  YBR203W
S000006556  tE(UUC)I
S000005980  YPL059W
S000005941  YPL020C
S000005191  YNL247W
S000004228  YLR238W
S000006785  tY(GUA)O
S000006525  tA(UGC)O
S000001538  YKL055C
S000028640  YGR204C-A
S000006724  tS(AGA)E
S000005189  YNL245C
S000006039  YPL118W
S000003388  YGR156W
S000005853  YOR326W
S000006055  YPL134C
S000000792  YEL066W
S000001460  YIR021W
S000006130  YPL209C
S000001433  YIL171W
S000003787  YJR026W
S000005671  YOR145C
S000004134  YLR144C
S000000034  YAL036C
S000004941  YMR322C
S000005063  YNL119W
S000000472  YBR268W
S000001120  YHR078W
S000000755  YEL029C
S000001522  YKL039W
S000007237  YER048W-A
S000004247  YLR257W
S000002817  YDR409W
S000000136  YBL040C
S000001365  YIL103W
S000003106  YGL138C
S000004402  YLR410W
S000130127  RUF20
S000004669  YMR065W
S000000621  YCR026C
S000006121  YPL200W
S000006174  YPL253C
S000001024  YHL032C
S000005523  YOL163W
S000001250  YHR207C
S000005458  YOL098C
S000003540  YJL003W
S000000620  YCR025C
S000004640  YMR037C
S000006166  YPL245W
S000006109  YPL188W
S000001319  YIL057C
S000002622  YDR214W
S000001022  YHL030W
S000006250  YPR046W
S000003463  YGR231C
S000004927  YMR310C
S000002516  YDR109C
S000002332  YDL173W
S000001702  YKL219W
S000003437  YGR205W
S000000417  YBR213W
S000000879  YER077C
S000005593  YOR067C
S000004831  YMR218C
S000001008  YHL016C
S000003695  YJL159W
S000001712  YKR004C
S000005068  YNL124W
S000005435  YOL075C
S000000107  YBL011W
S000006701  tR(ACG)E
S000001062  YHR020W
S000000762  YEL036C
S000007332  tS(GCU)Q1
S000004690  YMR085W
S000003030  YGL062W
S000005847  YOR320C
S000002918  YDR510W
S000000942  YER140W
S000007267  Q0080
S000000944  YER142C
S000000425  YBR221C
S000004167  YLR177W
S000003087  YGL119W
S000004364  YLR372W
S000007231  YCR102W-A
S000005337  YNR054C
S000006459  snR68
S000004524  YML059C
S000001438  YIL176C
S000005249  YNL305C
S000000018  YAL020C
S000001285  YIL023C
S000007399  YDR316W-B
S000006393  YPR189W
S000001716  YKR008W
S000000146  YBL050W
S000002366  YDL207W
S000006112  YPL191C
S000000728  YEL002C
S000000385  YBR181C
S000028425  YPR036W-A
S000005787  YOR261C
S000001933  YFR037C
S000003948  YLL025W
S000002718  YDR310C
S000001191  YHR148W
S000006279  YPR075C
S000003215  YGL246C
S000007287  Q0020
S000002479  YDR072C
S000003400  YGR168C
S000000951  YER149C
S000006674  tN(GUU)N2
S000001771  YKR063C
S000002996  YGL028C
S000003517  YGR285C
S000004315  YLR323C
S000003109  YGL141W
S000005244  YNL300W
S000006563  tF(GAA)D
S000006131  YPL210C
S000006133  YPL212C
S000004515  YML051W
S000004965  YNL020C
S000003069  YGL101W
S000000188  YBL092W
S000000075  YAR027W
S000006344  YPR140W
S000001217  YHR174W
S000003664  YJL128C
S000001602  YKL119C
S000004516  YML052W
S000003699  YJL163C
S000003237  YGR005C
S000003473  YGR241C
S000000553  YCL048W
S000004355  YLR363C
S000006227  YPR023C
S000006158  YPL237W
S000004255  YLR265C
S000001954  YER044C-A
S000004193  YLR203C
S000001038  YHL046C
S000004297  YLR306W
S000001389  YIL127C
S000001166  YHR124W
S000000820  YER018C
S000007306  snR72
S000005957  YPL036W
S000007373  YLR157C-A
S000005578  YOR052C
S000005971  YPL050C
S000006458  snR67
S000000125  YBL029W
S000005843  YOR316C
S000005612  YOR086C
S000006499  snR14
S000003326  YGR094W
S000002414  YDR007W
S000005065  YNL121C
S000003703  YJL167W
S000000612  YCR019W
S000003259  YGR027C
S000006236  YPR032W
S000004601  YML132W
S000006027  YPL106C
S000003740  YJL204C
S000028856  YOR034C-A
S000005960  YPL039W
S000003248  YGR016W
S000000810  YER008C
S000001562  YKL079W
S000003218  YGL249W
S000004316  YLR324W
S000003577  YJL041W
S000003110  YGL142C
S000000111  YBL015W
S000004644  YMR041C
S000028652  YHR213W-B
S000000875  YER073W
S000003520  YGR288W
S000004237  YLR247C
S000113555  YDR119W-A
S000001553  YKL070W
S000003471  YGR239C
S000000688  YCR092C
S000005090  YNL146W
S000005810  YOR284W
S000003902  YJR141W
S000005723  YOR197W
S000004292  YLR301W
S000004349  YLR357W
S000000703  YCR106W
S000004288  YLR297W
S000002269  YDL111C
S000006068  YPL147W
S000006440  snR48
S000000050  YAL054C
S000002801  YDR393W
S000000821  YER019W
S000000505  YBR301W
S000005880  YOR353C
S000002377  YDL218W
S000004626  YMR024W
S000006168  YPL247C
S000003575  YJL038C
S000005130  YNL186W
S000004551  YML086C
S000001901  YFR005C
S000002493  YDR086C
S000005228  YNL284C
S000000900  YER098W
S000004878  YMR265C
S000003114  YGL146C
S000000322  YBR118W
S000001852  YFL042C
S000001373  YIL111W
S000002426  YDR019C
S000004378  YLR386W
S000004823  YMR210W
S000003796  YJR035W
S000002632  YDR224C
S000004502  YML038C
S000003006  YGL038C
S000000766  YEL040W
S000006179  YPL258C
S000004960  YNL015W
S000001376  YIL114C
S000028516  YOR072W-B
S000005224  YNL280C
S000006307  YPR103W
S000005679  YOR153W
S000003983  YLL060C
S000002129  YAR002C-A
S000006644  tL(CAA)M
S000004418  YLR426W
S000001097  YHR055C
S000003653  YJL117W
S000000976  YER174C
S000003292  YGR060W
S000001925  YFR029W
S000001179  YHR137W
S000001907  YFR011C
S000003880  YJR119C
S000005116  YNL172W
S000004492  YML030W
S000005615  YOR089C
S000001289  YIL027C
S000002712  YDR304C
S000006711  tR(UCU)G1
S000005461  YOL101C
S000006011  YPL090C
S000006385  YPR181C
S000001680  YKL197C
S000005918  YOR391C
S000001762  YKR054C
S000114301  snR87
S000005992  YPL071C
S000002902  YDR494W
S000005499  YOL139C
S000003308  YGR076C
S000006535  tD(GUC)I2
S000000244  YBR040W
S000003557  YJL020C
S000001312  YIL050W
S000007307  snR73
S000004882  YMR269W
S000003101  YGL133W
S000000212  YBR008C
S000004126  YLR136C
S000003022  YGL054C
S000004405  YLR413W
S000005747  YOR221C
S000005399  YOL039W
S000000839  YER037W
S000002577  YDR170C
S000006233  YPR029C
S000001409  YIL147C
S000000291  YBR087W
S000001843  YFL051C
S000004740  YMR133W
S000003191  YGL223C
S000004716  YMR110C
S000001591  YKL108W
S000004067  YLR077W
S000002835  YDR427W
S000002225  YDL067C
S000007336  tV(UAC)Q
S000000552  YCL047C
S000004345  YLR353W
S000006299  YPR095C
S000006028  YPL107W
S000000198  YBL102W
S000004820  YMR207C
S000003161  YGL193C
S000087085  YBR201C-A
S000004215  YLR225C
S000002606  YDR198C
S000001264  YIL002C
S000005555  YOR029W
S000004025  YLR035C
S000003505  YGR273C
S000005685  YOR159C
S000028850  YNL042W-B
S000000341  YBR137W
S000001569  YKL086W
S000005638  YOR112W
S000001845  YFL049W
S000087162  snR161
S000000154  YBL058W
S000007347  YGR109W-B
S000004483  YML021C
S000029711  RDN5-6
S000007275  Q0140
S000003094  YGL126W
S000005073  YNL129W
S000000260  YBR056W
S000004041  YLR051C
S000000650  YCR054C
S000006090  YPL169C
S000003493  YGR261C
S000006207  YPR003C
S000003062  YGL094C
S000003380  YGR148C
S000001257  YHR214W
S000002278  YDL120W
S000002528  YDR121W
S000000485  YBR281C
S000001609  YKL126W
S000005163  YNL219C
S000004085  YLR095C
S000000251  YBR047W
S000002238  YDL080C
S000005624  YOR098C
S000004881  YMR268C
S000000347  YBR143C
S000006542  tD(GUC)L2
S000002329  YDL170W
S000001707  YKL224C
S000003468  YGR236C
S000004252  YLR262C
S000000536  YCL031C
S000005057  YNL113W
S000000335  YBR131W
S000003588  YJL052W
S000001552  YKL069W
S000002258  YDL100C
S000001090  YHR048W
S000004417  YLR425W
S000003323  YGR091W
S000006364  YPR160W
S000005927  YPL006W
S000000797  YEL071W
S000000189  YBL093C
S000005948  YPL027W
S000004116  YLR126C
